YearlyIncome__minmax,NumberCarsOwned__minmax,TotalChildren__minmax,NumberChildrenAtHome__minmax,HomeOwnerFlag__minmax,Gender,MaritalStatus,Occupation,Education
0.4968420126671358,0.6000000000000001,0.3333333333333333,0.0,1.0,M,M,Clerical,Bachelors
0.4894528501055595,0.4,0.6666666666666666,0.3333333333333333,1.0,M,M,Clerical,Partial College
0.5361717100633356,0.6000000000000001,0.0,0.0,0.0,F,S,Clerical,Bachelors
0.3170830401125968,0.4,0.6666666666666666,0.3333333333333333,1.0,M,M,Skilled Manual,Partial College
0.23195812807881774,0.2,0.0,0.0,1.0,M,S,Skilled Manual,Partial College
0.3211558761435609,0.4,0.6666666666666666,0.6666666666666666,1.0,F,M,Skilled Manual,High School
0.0834271639690359,0.2,0.0,0.0,1.0,M,S,Manual,Partial College
0.320170654468684,0.2,0.0,0.0,0.0,F,M,Skilled Manual,Partial College
0.5137139338494018,0.0,0.6666666666666666,0.0,1.0,F,M,Clerical,Partial College
0.01271111893033075,0.2,0.0,0.0,0.0,M,S,Manual,High School
0.4558673469387755,0.2,0.0,0.0,0.0,F,S,Clerical,Partial College
0.6796534130893737,0.6000000000000001,0.0,0.0,1.0,M,M,Management,Bachelors
0.7280348346235046,0.2,0.6666666666666666,0.3333333333333333,1.0,F,M,Management,Bachelors
0.9529116819141449,0.4,0.6666666666666666,0.0,1.0,M,M,Professional,Bachelors
0.04478360309641097,0.2,0.0,0.0,0.0,M,S,Manual,Partial High School
0.04478360309641097,0.2,0.0,0.0,0.0,M,S,Manual,Partial High School
0.2719739619985925,0.4,0.6666666666666666,0.0,1.0,F,M,Skilled Manual,Partial College
0.4713581984517945,0.6000000000000001,0.3333333333333333,0.3333333333333333,1.0,F,S,Clerical,High School
0.2634764250527797,0.4,0.0,0.0,0.0,M,S,Skilled Manual,Partial College
0.772704081632653,0.4,0.6666666666666666,0.0,1.0,M,M,Management,Bachelors
0.7373680506685433,0.2,0.3333333333333333,0.0,1.0,M,S,Management,Partial College
0.51381069669247,0.0,0.6666666666666666,0.0,1.0,F,M,Clerical,High School
0.2998944405348346,0.0,0.6666666666666666,0.6666666666666666,1.0,F,M,Skilled Manual,High School
0.7294598874032372,0.2,0.3333333333333333,0.0,1.0,M,S,Management,Bachelors
0.5459975369458128,0.2,0.0,0.0,0.0,M,M,Clerical,Partial College
0.26412737508796624,0.0,0.0,0.0,0.0,F,M,Skilled Manual,Bachelors
0.9854767769176637,0.4,0.0,0.0,1.0,F,S,Professional,Bachelors
0.5475105559465165,0.4,0.3333333333333333,0.0,1.0,M,M,Clerical,High School
0.6927515833919775,0.6000000000000001,0.6666666666666666,0.0,1.0,M,M,Management,Bachelors
0.46434729064039404,0.2,0.0,0.0,0.0,M,S,Clerical,Bachelors
0.4569669247009148,0.4,0.3333333333333333,0.0,1.0,F,M,Clerical,Graduate Degree
0.3102128782547502,0.2,0.6666666666666666,0.6666666666666666,1.0,F,M,Skilled Manual,High School
0.04818789584799435,0.0,0.0,0.0,0.0,F,S,Manual,High School
0.5411418015482055,0.4,0.0,0.0,1.0,F,S,Clerical,Partial College
0.2914496833216045,0.4,0.6666666666666666,0.3333333333333333,1.0,M,M,Skilled Manual,Graduate Degree
0.4578026038001407,0.0,0.0,0.0,0.0,M,M,Clerical,Partial College
0.46596586910626314,0.4,0.3333333333333333,0.0,1.0,M,M,Clerical,Bachelors
0.52676812104152,0.2,0.0,0.0,0.0,M,S,Clerical,Partial College
0.24184553131597467,0.0,0.0,0.0,0.0,F,S,Skilled Manual,High School
0.47316150598170303,0.4,0.0,0.0,0.0,F,S,Clerical,Bachelors
